Tingkat_Ijazah,Persentase,Kota
Tidak Mempunyai Ijazah SD,34.74510228614896,A
Tidak Mempunyai Ijazah SD,32.035747662588086,B
Tidak Mempunyai Ijazah SD,38.27415530957941,C
Tidak Mempunyai Ijazah SD,38.35043653790619,D
Tidak Mempunyai Ijazah SD,43.996546905512254,E
Tidak Mempunyai Ijazah SD,31.90679655368976,F
Tidak Mempunyai Ijazah SD,21.899064200434225,G
SD Sederajat,26.65123558915226,A
SD Sederajat,28.86635614615804,B
SD Sederajat,26.027227480864994,C
SD Sederajat,27.207960089828642,D
SD Sederajat,26.89701496444888,E
SD Sederajat,27.724006762135517,F
SD Sederajat,18.03573581249081,G
SMP Sederajat,15.328954484091131,A
SMP Sederajat,15.414248358374778,B
SMP Sederajat,14.060385434556464,C
SMP Sederajat,13.359607809128343,D
SMP Sederajat,12.420625547820773,E
SMP Sederajat,16.60262232128661,F
SMP Sederajat,16.305250259866575,G
SMA Sederajat,18.296056194463247,A
SMA Sederajat,17.69306755092535,B
SMA Sederajat,16.52441835866988,C
SMA Sederajat,17.183398661161277,D
SMA Sederajat,12.293797850456526,E
SMA Sederajat,18.8745521644193,F
SMA Sederajat,32.13608263153067,G
D1 D2 D3,1.691211322114205,A
D1 D2 D3,2.1841111919320184,B
D1 D2 D3,1.7624549374190064,C
D1 D2 D3,1.070845968790865,D
D1 D2 D3,1.0763618410339992,E
D1 D2 D3,1.868831934854947,F
D1 D2 D3,3.6747889728062457,G
S1 S2 S3,3.2874401240302276,A
S1 S2 S3,3.806469090021716,B
S1 S2 S3,3.351358478910252,C
S1 S2 S3,2.827750933184676,D
S1 S2 S3,3.315652890727565,E
S1 S2 S3,3.023190263613859,F
S1 S2 S3,7.94907812287147,G
