Indikator,Kontribusi,Dimensi,Kota
Gizi/Nutrisi,19.844357976653697,Kesehatan,A
Kematian Balita,1.1547633990209616,Kesehatan,A
Partisipasi Sekolah,2.309526798041923,Pendidikan,A
Lama Sekolah,15.438684573867203,Pendidikan,A
Lantai,0.0962302832517468,Standar Hidup,A
Air minum,2.100330530103343,Standar Hidup,A
Sanitasi,4.355466298481236,Standar Hidup,A
Sumber Penerangan,0.11714991004560481,Standar Hidup,A
BB Memasak,1.3012007865779676,Standar Hidup,A
Kepemilikan Aset,0.48951926697627723,Standar Hidup,A
Stabilitas dan jaminan kerja,28.831429647295092,Ketenagakerjaan,A
Produktivitas,23.961340529684954,Ketenagakerjaan,A
Gizi/Nutrisi,18.55488418932528,Kesehatan,B
Kematian Balita,1.1581067472306144,Kesehatan,B
Partisipasi Sekolah,3.2477341389728096,Pendidikan,B
Lama Sekolah,16.842900302114803,Pendidikan,B
Lantai,0.025176233635448134,Standar Hidup,B
Air minum,1.4434373950990265,Standar Hidup,B
Sanitasi,4.2379993286337685,Standar Hidup,B
Sumber Penerangan,0.1930177912051024,Standar Hidup,B
BB Memasak,1.628063108425646,Standar Hidup,B
Kepemilikan Aset,0.553877139979859,Standar Hidup,B
Stabilitas dan jaminan kerja,28.07150050352467,Ketenagakerjaan,B
Produktivitas,24.04330312185297,Ketenagakerjaan,B
Gizi/Nutrisi,20.209676276829352,Kesehatan,C
Kematian Balita,2.528865906354041,Kesehatan,C
Partisipasi Sekolah,2.720124672380817,Pendidikan,C
Lama Sekolah,17.234539916412835,Pendidikan,C
Lantai,0.0637529220089254,Standar Hidup,C
Air minum,2.0825954522915637,Standar Hidup,C
Sanitasi,3.9951831125593253,Standar Hidup,C
Sumber Penerangan,0.16292413402280936,Standar Hidup,C
BB Memasak,1.5371537862152012,Standar Hidup,C
Kepemilikan Aset,0.4391867960614861,Standar Hidup,C
Stabilitas dan jaminan kerja,28.221293475950983,Ketenagakerjaan,C
Produktivitas,20.804703548912656,Ketenagakerjaan,C
Gizi/Nutrisi,20.363557671499674,Kesehatan,D
Kematian Balita,1.4499026184808483,Kesehatan,D
Partisipasi Sekolah,1.9909110582125082,Pendidikan,D
Lama Sekolah,17.20406838346678,Pendidikan,D
Lantai,0.08656135035706557,Standar Hidup,D
Air minum,2.0702589627064847,Standar Hidup,D
Sanitasi,3.888047320204862,Standar Hidup,D
Sumber Penerangan,0.08656135035706557,Standar Hidup,D
BB Memasak,1.0675899877371422,Standar Hidup,D
Kepemilikan Aset,0.44002019764841677,Standar Hidup,D
Stabilitas dan jaminan kerja,28.04587751568925,Ketenagakerjaan,D
Produktivitas,23.306643583639904,Ketenagakerjaan,D
Gizi/Nutrisi,19.560717571297147,Kesehatan,E
Kematian Balita,1.6041858325666976,Kesehatan,E
Partisipasi Sekolah,3.104875804967801,Pendidikan,E
Lama Sekolah,16.800827966881325,Pendidikan,E
Lantai,0,Standar Hidup,E
Air minum,2.8346366145354187,Standar Hidup,E
Sanitasi,4.881554737810488,Standar Hidup,E
Sumber Penerangan,0.31048758049678005,Standar Hidup,E
BB Memasak,1.8571757129714812,Standar Hidup,E
Kepemilikan Aset,0.31623735050597973,Standar Hidup,E
Stabilitas dan jaminan kerja,27.68514259429623,Ketenagakerjaan,E
Produktivitas,21.044158233670654,Ketenagakerjaan,E
Gizi/Nutrisi,20.219833313202077,Kesehatan,F
Kematian Balita,0.9059065104481216,Kesehatan,F
Partisipasi Sekolah,5.000603937673632,Pendidikan,F
Lama Sekolah,14.53074042758787,Pendidikan,F
Lantai,0.12078753472641625,Standar Hidup,F
Air minum,1.4132141562990699,Standar Hidup,F
Sanitasi,3.3941297258122956,Standar Hidup,F
Sumber Penerangan,0.1570237951443411,Standar Hidup,F
BB Memasak,2.3915931875830414,Standar Hidup,F
Kepemilikan Aset,0.3382050972339654,Standar Hidup,F
Stabilitas dan jaminan kerja,28.590409469742724,Ketenagakerjaan,F
Produktivitas,22.937552844546445,Ketenagakerjaan,F
Gizi/Nutrisi,22.73105745212323,Kesehatan,G
Kematian Balita,0.8992506244796004,Kesehatan,G
Partisipasi Sekolah,1.9483763530391345,Pendidikan,G
Lama Sekolah,12.18984179850125,Pendidikan,G
Lantai,0.09991673605328893,Standar Hidup,G
Air minum,1.8984179850124894,Standar Hidup,G
Sanitasi,3.1473771856786006,Standar Hidup,G
Sumber Penerangan,0,Standar Hidup,G
BB Memasak,0.24979184013322234,Standar Hidup,G
Kepemilikan Aset,0.23313905079100752,Standar Hidup,G
Stabilitas dan jaminan kerja,30.874271440466284,Ketenagakerjaan,G
Produktivitas,25.7285595337219,Ketenagakerjaan,G
